 10.68 41424 0.04
 10.68 41440 0.04
 10.64 41492 0.04
 10.58 41595 0.04
 10.58 41647 0.04
 10.56 41667 0.04
 10.56 41669 0.04
 10.37 42567 0.03
 10.37 42568 0.03
 10.37 42638 0.03
 10.33 42844 0.03
 10.33 42847 0.03
 10.32 42928 0.03
 10.32 42952 0.03
 10.32 42955 0.03
 10.32 42970 0.03
 10.20 43129 0.03
 10.20 43140 0.03
 10.09 43150 0.03
 10.04 43189 0.03
 10.04 43192 0.03
 10.04 43399 0.03
 9.93 43419 0.03
 9.93 43433 0.03
 9.91 43471 0.03
 9.80 43485 0.03
 9.76 43631 0.03
 9.74 43717 0.03
 9.72 45277 0.03
 9.68 45320 0.03
 9.68 45331 0.03
 9.67 45462 0.03
 9.59 45485 0.03
 9.59 45646 0.03
 9.59 45654 0.03
 9.51 45656 0.03
 9.51 45679 0.03
 9.48 47025 0.03
 9.33 47216 0.03
 9.14 47219 0.03
 9.05 48146 0.03
 8.99 48171 0.03
 8.99 48193 0.03
 8.96 48454 0.03
 8.96 48515 0.03
 8.96 48532 0.03
 8.88 48579 0.03
 8.88 48605 0.03
 8.87 48646 0.03
 8.87 48704 0.03
 8.86 48861 0.03
 8.85 54230 0.02
 8.69 54290 0.02
 8.69 54309 0.02
 8.69 54331 0.02
 8.67 54406 0.02
 8.67 54429 0.02
 8.67 54596 0.02
 8.65 54675 0.02
 8.57 55903 0.02
 8.51 56790 0.02
 8.51 56817 0.02
 8.50 56883 0.02
 8.50 56885 0.02
 8.41 57127 0.02
 8.41 57129 0.02
 8.41 57260 0.02
 8.41 57268 0.02
 8.39 61581 0.02
 8.39 61588 0.02
 8.39 61601 0.02
 8.36 62036 0.02
 8.36 62050 0.02
 8.36 62061 0.02
 8.33 62853 0.02
 8.33 62870 0.02
 8.33 62944 0.02
 8.30 63038 0.02
 8.30 63045 0.02
 8.30 63062 0.02
 8.30 63097 0.02
 8.28 63238 0.02
 8.18 63377 0.02
 8.17 63523 0.02
 8.17 63603 0.02
 8.16 63763 0.02
 8.16 63786 0.02
 8.14 65611 0.02
 8.13 66225 0.02
 8.13 66232 0.02
 8.13 66537 0.02
 8.13 66658 0.02
 8.10 66681 0.02
 8.10 66823 0.02
 8.09 66857 0.02
 8.09 66893 0.02
 8.09 66988 0.02
 8.09 66999 0.02
 8.07 68516 0.02
 8.07 68527 0.02
 8.07 68592 0.02
 8.06 73447 0.01
 8.06 73572 0.01
 8.04 73910 0.01
 8.04 73915 0.01
 8.04 74087 0.01
 8.04 74119 0.01
 8.04 74135 0.01
 8.04 74289 0.01
 8.02 75203 0.01
 8.02 75393 0.01
 8.02 75524 0.01
 7.99 75528 0.01
 7.99 75546 0.01
 7.99 75612 0.01
 7.99 75893 0.01
 7.99 76368 0.01
 7.99 76369 0.01
 7.99 76398 0.01
 7.96 76471 0.01
 7.96 76492 0.01
 7.96 76509 0.01
